location,area,new/resale,furnished,price
Ambala Highway,1720,1,0,6490000
sector 5 Mubarikpur road derabassi,1120,1,0,2475000
Patiala Road,1845,1,0,6750000
SEC 115 MOHALI KHARAR LANDRAN ROAD,810,1,0,5090000
Mohali Sector 127,550,1,0,1690000
sector 5 Mubarikpur road derabassi,1120,1,0,2475000
Dera Bassi,1550,1,0,3590000
Dera Bassi,1550,1,0,3590000
Dera Bassi,1550,1,0,3590000
Dera Bassi,1250,1,0,3290000
Dera Bassi,1250,1,0,3290000
sector 5 Mubarikpur road derabassi,1110,1,0,2475000
Kharar Mohali,990,1,0,3470000
Kharar Mohali,990,1,0,3480000
New Chandigarh Mullanpur,1580,1,0,5817000
sector 5 Mubarikpur road derabassi,1210,1,0,2475000
sector 5 Mubarikpur road derabassi,1500,1,0,2975000
Mohali Sector 127,1350,1,0,3390000
Ambala Highway,750,1,0,1690000
sector 5 Mubarikpur road derabassi,1125,1,0,2475000
sector 5 Mubarikpur road derabassi,1210,1,0,2490000
sector 5 Mubarikpur road derabassi,1350,1,0,3275000
Panchkula Road,515,1,0,1340000
Vip Road Zirakpur,1800,1,0,4990000
Zirakpur Road,1800,1,0,6500000
Panchkula Road,780,1,0,2094000
Panchkula Road,730,1,0,1962000
Panchkula Road,535,1,0,1400000
Panchkula Road,780,1,0,2094000
Vip Road Zirakpur,1800,1,0,4990000
Zirakpur GAzipur Road,900,1,0,3700000
Panchkula Road,515,1,0,1340500
Panchkula Road,730,1,0,1962000
Panchkula Road,515,1,0,1340000
Vip Road Zirakpur,900,1,0,4990000
Vip Road Zirakpur,900,1,0,5590000
Panchkula Road,730,1,0,1962000
Vip Road Zirakpur,1710,1,0,4990000
Panchkula Road,512,1,0,1340500
Vip Road Zirakpur,1800,1,0,4990000
Panchkula Road,780,1,0,2094000
Zirakpur GAzipur Road,900,1,0,2590000
Panchkula Road,730,1,0,1962000
Panchkula Road,515,1,0,1340000
Panchkula Road,730,1,0,1962000
Panchkula Road,780,1,0,2094000
Patiala Road Zirakpur,1017,1,0,3690000
Ambala Highway,1737,1,0,6190000
Panchkula Road,515,1,0,1340500
Panchkula Road,780,1,0,2094000
Panchkula Road,515,1,0,1340500
Panchkula Road,515,1,0,1340500
Vip Road Zirakpur,1800,1,0,4990000
Panchkula Road,730,1,0,1962000
Patiala Road Zirakpur,800,1,0,1490000
Panchkula Road,513,1,0,1340000
Panchkula Road,535,1,0,1400000
Panchkula Road,515,1,0,1340000
Vip Road Zirakpur,1800,1,0,4990000
Vip Road Zirakpur,1800,1,0,4990000
Panchkula Road,780,1,0,2094000
Panchkula Road,730,1,0,1962000
Panchkula Road,730,1,0,1962000
Panchkula Road,535,1,0,1400000
Panchkula Road,535,1,0,1400000
Panchkula Road,535,1,0,1400000
Panchkula Road,780,1,0,2094000
Panchkula Road,780,1,0,2094000
Panchkula Road,780,1,0,2094000
Panchkula Road,515,1,0,1340000
Panchkula Road,515,1,0,1340500
Panchkula Road,730,1,0,1962000
Panchkula Road,535,1,0,1400000
sector 5 Mubarikpur road derabassi,1120,1,0,2475000
Dera Bassi,1550,1,0,3590000
Kharar Mohali,990,1,0,3480000
SEC 115 MOHALI KHARAR LANDRAN ROAD,950,1,0,2990000
SEC 115 MOHALI KHARAR LANDRAN ROAD,970,1,1,2490000
Airport Road,630,1,0,1790000
Mohali Sector 127,930,1,0,2750000
Mohali Sector 127,900,1,0,2690000
Kharar Mohali,990,1,0,3470000
